timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,mean_down_f1_score,mean_up_f1_score,mean_acc,min_acc,max_acc,diff_acc,optimizer,month,consecutive
15,['Label' 'Close' 'Volume'],10,28,15,200,12,0.386082399,0.581068626,0.525203252,0.5029036,0.550522648,0.047619048,adam,6,1
15,['Label' 'Close'],10,28,15,200,12,0.235142346,0.64618347,0.524506388,0.515679443,0.534262485,0.018583043,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,12,0.363245457,0.611852196,0.529152149,0.520325203,0.542392567,0.022067364,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],10,28,15,200,12,0.47628104,0.438601406,0.516376307,0.472706156,0.540069686,0.067363531,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,32,0.34677153,0.630448753,0.531939605,0.512195122,0.56445993,0.052264808,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,32,0.528261615,0.52358154,0.526132404,0.50174216,0.552845528,0.051103368,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,64,0.400041499,0.578101011,0.525203252,0.4970964,0.550522648,0.053426249,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,32,0.455546763,0.551910983,0.525900116,0.495934959,0.547038328,0.051103368,adam,6,1
15,['Label' 'Close'],2,28,15,200,32,0.341461598,0.611098822,0.522880372,0.519163763,0.527293844,0.008130081,adam,6,1
15,['Label' 'Close' 'tw_polarity'],2,28,15,200,32,0.337175335,0.595773562,0.511033682,0.493612079,0.523809524,0.030197445,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,32,0.292778384,0.630295533,0.521486643,0.504065041,0.541231127,0.037166086,adam,6,1
15,['Label' 'Close' 'google_trends_lag'],2,28,15,200,32,0.474515076,0.421578312,0.505923345,0.471544715,0.528455285,0.056910569,adam,6,1
10,['Label' 'Close'],2,28,15,80,32,0.506578173,0.566859929,0.539907193,0.510440835,0.563805104,0.053364269,adam,6,1
15,['Label' 'Close'],2,28,15,80,32,0.381369851,0.615790928,0.552380952,0.512195122,0.545876887,0.033681765,adam,6,1
